index,date,symbol,price
118283,2011-01-03,EMN,84.879997
118284,2011-01-03,EMR,57.610001000000004
118285,2011-01-03,ENDP,35.900002
118286,2011-01-03,EOG,92.449997
118287,2011-01-03,EQIX,82.230003
118288,2011-01-03,EQR,52.27
118289,2011-01-03,EQT,45.07
118290,2011-01-03,ES,32.049999
118291,2011-01-03,ESRX,54.389998999999996
118292,2011-01-03,ESS,115.0
118293,2011-01-03,ETFC,16.129998999999998
118294,2011-01-03,ETN,102.470001
118295,2011-01-03,ETR,71.730003
118296,2011-01-03,EW,81.529999
118297,2011-01-03,EXC,41.98
118298,2011-01-03,EXPD,55.080002
118299,2011-01-03,EXPE,25.15
118300,2011-01-03,EXR,17.52
118301,2011-01-03,F,17.02
118302,2011-01-03,FAST,60.549999
118303,2011-01-03,FCX,121.690002
118304,2011-01-03,FDX,93.540001
118305,2011-01-03,FE,37.259997999999996
118306,2011-01-03,FFIV,132.889999
118307,2011-01-03,FIS,27.549999
118308,2011-01-03,FISV,59.189999
118309,2011-01-03,FITB,14.83
118310,2011-01-03,FL,19.73
118311,2011-01-03,FLIR,29.9
118312,2011-01-03,FLR,67.129997
118313,2011-01-03,FLS,120.0
118314,2011-01-03,FMC,80.68
118315,2011-01-03,FOX,16.590003
118316,2011-01-03,FOXA,14.750004999999998
118317,2011-01-03,FRT,78.480003
118318,2011-01-03,FSLR,131.850006
118319,2011-01-03,FTI,89.349998
118320,2011-01-03,FTR,9.79
118321,2011-01-03,GD,70.260002
118322,2011-01-03,GE,18.49
118323,2011-01-03,GGP,15.600001
118324,2011-01-03,GILD,36.639998999999996
118325,2011-01-03,GIS,35.75
118326,2011-01-03,GLW,19.43
118327,2011-01-03,GM,37.32
118328,2011-01-03,GOOG,596.481052
118329,2011-01-03,GOOGL,596.480018
118330,2011-01-03,GPC,51.810001
118331,2011-01-03,GPN,46.540001000000004
118332,2011-01-03,GPS,22.32
118333,2011-01-03,GRMN,31.15
118334,2011-01-03,GS,170.550003
118335,2011-01-03,GT,12.0
118336,2011-01-03,GWW,139.179993
118337,2011-01-03,HAL,41.349998
118338,2011-01-03,HAR,47.040001000000004
118339,2011-01-03,HAS,47.75
118340,2011-01-03,HBAN,6.96
118341,2011-01-03,HBI,25.620001000000002
118342,2011-01-03,HCN,48.029999
118343,2011-01-03,HCP,36.890002
118344,2011-01-03,HD,35.200001
118345,2011-01-03,HES,77.940002
118346,2011-01-03,HIG,26.93
118347,2011-01-03,HOG,35.029999
118348,2011-01-03,HOLX,18.82
118349,2011-01-03,HON,53.490002000000004
118350,2011-01-03,HP,49.099998
118351,2011-01-03,HPQ,42.219999
118352,2011-01-03,HRB,12.15
118353,2011-01-03,HRL,51.400002
118354,2011-01-03,HRS,45.66
118355,2011-01-03,HSIC,62.049999
118356,2011-01-03,HST,17.98
118357,2011-01-03,HSY,47.32
118358,2011-01-03,HUM,55.060001
118359,2011-01-03,IBM,147.21000700000002
118360,2011-01-03,ICE,119.799995
118361,2011-01-03,IDXX,69.839996
118362,2011-01-03,IFF,56.060001
118363,2011-01-03,ILMN,64.050003
118364,2011-01-03,INTC,21.01
118365,2011-01-03,INTU,49.68
118366,2011-01-03,IP,27.500004999999998
118367,2011-01-03,IPG,10.71
118368,2011-01-03,IR,47.470005
118369,2011-01-03,IRM,25.159994
118370,2011-01-03,ISRG,261.799988
118371,2011-01-03,ITW,53.73
118372,2011-01-03,IVZ,24.24
118373,2011-01-03,JBHT,41.209998999999996
118374,2011-01-03,JCI,41.670051
118375,2011-01-03,JEC,46.209998999999996
118376,2011-01-03,JNJ,62.630001
118377,2011-01-03,JNPR,37.240002000000004
118378,2011-01-03,JPM,43.0
118379,2011-01-03,JWN,42.73
118380,2011-01-03,K,51.23
118381,2011-01-03,KEY,8.96
118382,2011-01-03,KIM,18.27
118383,2011-01-03,KLAC,38.580002
118384,2011-01-03,KMB,63.179995
118385,2011-01-03,KMX,31.870001000000002
118386,2011-01-03,KO,65.879997
118387,2011-01-03,KR,22.43
118388,2011-01-03,KSS,54.610001000000004
118389,2011-01-03,KSU,48.290001000000004
118390,2011-01-03,L,39.259997999999996
118391,2011-01-03,LB,31.02
118392,2011-01-03,LEG,22.99
118393,2011-01-03,LEN,18.889999
118394,2011-01-03,LH,88.349998
118395,2011-01-03,LKQ,22.99
118396,2011-01-03,LLL,70.489998
118397,2011-01-03,LLTC,34.75
118398,2011-01-03,LLY,35.169998
118399,2011-01-03,LMT,70.199997
118400,2011-01-03,LNC,28.17
118401,2011-01-03,LNT,37.060001
118402,2011-01-03,LOW,25.209999
118403,2011-01-03,LRCX,51.689999
118404,2011-01-03,LUK,29.499997999999998
118405,2011-01-03,LUV,13.03
118406,2011-01-03,LVLT,0.98
118407,2011-01-03,LYB,34.75
118408,2011-01-03,M,25.5
118409,2011-01-03,MA,226.43999100000002
118410,2011-01-03,MAA,63.93
118411,2011-01-03,MAC,47.759997999999996
118412,2011-01-03,MAR,41.9
118413,2011-01-03,MAS,12.87
118414,2011-01-03,MAT,25.67
118415,2011-01-03,MCD,77.099998
118416,2011-01-03,MCHP,34.380001
118417,2011-01-03,MCK,70.529999
118418,2011-01-03,MCO,26.82
118419,2011-01-03,MDLZ,31.76
118420,2011-01-03,MDT,37.25
118421,2011-01-03,MET,44.950001
118422,2011-01-03,MHK,57.700001
118423,2011-01-03,MJN,62.450001
118424,2011-01-03,MKC,46.759997999999996
118425,2011-01-03,MLM,92.970001
118426,2011-01-03,MMC,27.51
118427,2011-01-03,MMM,86.75
118428,2011-01-03,MNST,52.649998
118429,2011-01-03,MO,24.709999
118430,2011-01-03,MON,69.989998
118431,2011-01-03,MOS,77.459999
118432,2011-01-03,MRK,36.290001000000004
118433,2011-01-03,MRO,37.3901
118434,2011-01-03,MSFT,28.049999
118435,2011-01-03,MSI,9.099939
118436,2011-01-03,MTB,87.66999799999999
118437,2011-01-03,MTD,152.41000400000001
118438,2011-01-03,MU,8.14
118439,2011-01-03,MUR,75.460002
118440,2011-01-03,MYL,21.200001
118441,2011-01-03,NBL,86.110001
118442,2011-01-03,NDAQ,23.99
118443,2011-01-03,NEE,52.18
118444,2011-01-03,NEM,61.849998
118445,2011-01-03,NFLX,175.0
118446,2011-01-03,NFX,73.089996
118447,2011-01-03,NI,17.72
118448,2011-01-03,NKE,85.83000200000001
118449,2011-01-03,NOC,65.150184
118450,2011-01-03,NOV,68.13999799999999
118451,2011-01-03,NRG,19.719998999999998
118452,2011-01-03,NSC,63.25
118453,2011-01-03,NTAP,55.52
118454,2011-01-03,NTRS,55.810001
118455,2011-01-03,NUE,44.240002000000004
118456,2011-01-03,NVDA,15.52
